,Node ID, X(m), Y(m), Z(m),Directional Deformation (m)
114,797,0.52,1.0272e-32,0.0,-7.2393e-06
115,796,0.53,9.2445e-33,0.0,-7.3337e-06
116,795,0.54,8.217300000000001e-33,0.0,-7.4282e-06
117,794,0.55,7.1901e-33,0.0,-7.5228e-06
118,793,0.56,6.163e-33,0.0,-7.6173e-06
119,792,0.57,5.1358000000000005e-33,0.0,-7.7119e-06
120,791,0.58,4.1087e-33,0.0,-7.8065e-06
121,790,0.59,3.0815000000000004e-33,0.0,-7.9011e-06
122,789,0.6,2.0543e-33,0.0,-7.9958e-06
123,788,0.61,1.0272e-33,0.0,-8.0905e-06
124,726,0.62,0.0,0.0,-8.1852e-06
