Node ID,x,y,disp_x,disp_y,stress_x,stress_y
10651,-4.95,0.59995,0.0030539,0.00040525,0.00027001,0.69959
10652,-5.0,0.74994,0.0030191,0.0004955,-0.0001031,0.7006
10653,-4.95,0.69994,0.0030246,0.00047583,0.00023528,0.712
10654,-5.0,0.84994,0.0029842,0.00056629,-8.5119e-05,0.71599
10655,-4.95,0.79994,0.0029914,0.00054772,0.00019792,0.72575
10836,5.0,-0.049996,-0.0031468,-3.1994e-05,-0.00019896,0.64061
10837,4.95,0.0,-0.0031377,0.0,0.00034798,0.66261
10838,5.0,0.049992,-0.0031468,3.2008e-05,-0.00015873,0.64089
10839,5.0,-0.14999,-0.0031421,-9.6105e-05,-0.00017117,0.64298
10840,4.95,-0.099994,-0.0031353,-6.6325e-05,0.00037473,0.66373
10841,5.0,-0.24998,-0.0031327,-0.00016057,-0.00016973,0.64759
10842,4.95,-0.19998,-0.0031281,-0.00013286,0.00036482,0.66697
10843,5.0,-0.34997,-0.0031186,-0.0002256,-0.00016035,0.65439
10844,4.95,-0.29997,-0.0031163,-0.00019983,0.00034974,0.67228
10845,5.0,-0.44997,-0.0031001,-0.00029142,-0.00014924,0.66325
10846,4.95,-0.39997,-0.0030999,-0.00026743,0.00032797,0.67958
10847,5.0,-0.54996,-0.0030772,-0.00035823,-0.00013555,0.67404
10848,4.95,-0.49996,-0.003079,-0.00033585,0.00030122,0.68875
10849,5.0,-0.64995,-0.0030501,-0.00042621,-0.00012005,0.68657
10850,4.95,-0.59995,-0.0030538,-0.00040527,0.00026999,0.69962
10851,5.0,-0.74994,-0.0030189,-0.00049552,-0.00010309,0.70064
10852,4.95,-0.69994,-0.0030244,-0.00047585,0.00023525,0.71204
10853,5.0,-0.84994,-0.002984,-0.00056632,-8.5102e-05,0.71603
10854,4.95,-0.79993,-0.0029912,-0.00054774,0.00019789,0.72579
10856,4.95,-0.89993,-0.0029543,-0.00062107,0.00015886,0.74068
10936,1.55,0.0,-0.0032014,0.0,2.6887,6.362
10937,1.4644,-0.03563,-0.0031593,-0.00068905,2.4207,4.8394
10938,1.4644,0.035631,-0.0031503,0.00066311,2.3017,4.6452
10939,1.5313,0.04301,-0.0031532,0.00019852,1.8513,6.5084
10940,1.5142,-0.042625,-0.003147,-0.00025952,1.7625,6.7298
10941,4.85,0.0,-0.0031172,0.0,0.0024931,0.70581
10942,4.9,0.049996,-0.003127,3.4244e-05,0.00094722,0.68583
10943,4.9,-0.049998,-0.003127,-3.424e-05,0.00092167,0.68573
10944,4.75,0.0,-0.0030959,0.0,0.0064933,0.74526
10945,4.8,0.05,-0.0031061,3.6254e-05,0.0040587,0.72684
10946,4.8,-0.049999,-0.003106,-3.6252e-05,0.0040403,0.72682
10947,4.65,0.0,-0.0030739,0.0,0.012117,0.78158
10948,4.7,0.05,-0.0030843,3.8068e-05,0.008888,0.7645
10949,4.7,-0.049999,-0.0030843,-3.8069e-05,0.0088834,0.76452
10950,4.55,0.0,-0.0030515,0.0,0.019175,0.81522
10951,4.6,0.05,-0.0030621,3.9715e-05,0.015231,0.79929
10952,4.6,-0.05,-0.0030621,-3.9718e-05,0.015237,0.79935
10953,4.45,0.0,-0.0030288,0.0,0.027528,0.8466
10954,4.5,0.05,-0.0030395,4.122e-05,0.022926,0.83165
10955,4.5,-0.05,-0.0030395,-4.1224e-05,0.022939,0.83174
10956,4.35,0.0,-0.0030062,0.0,0.037071,0.87607
10957,4.4,0.050001,-0.0030169,4.2603e-05,0.03185,0.86195
10958,4.4,-0.049999,-0.0030169,-4.2607e-05,0.03187,0.86205
10959,4.25,0.0,-0.0029837,0.0,0.047734,0.90394
10960,4.3,0.050001,-0.0029943,4.3882e-05,0.041916,0.89051
10961,4.3,-0.049999,-0.0029943,-4.3886e-05,0.041942,0.89064
10962,4.15,0.0,-0.0029615,0.0,0.059473,0.93049
10963,4.2,0.050001,-0.0029719,4.5072e-05,0.053069,0.91764
10964,4.2,-0.049999,-0.0029719,-4.5076e-05,0.053098,0.91778
10965,4.05,0.0,-0.0029398,0.0,0.072274,0.95598
10966,4.1,0.050002,-0.0029499,4.6188e-05,0.065278,0.94359
10967,4.1,-0.049998,-0.0029499,-4.6191e-05,0.065311,0.94374
10968,3.95,0.0,-0.0029186,0.0,0.086145,0.98063
10969,4.0,0.050002,-0.0029284,4.724e-05,0.07854,0.96859
10970,4.0,-0.049997,-0.0029284,-4.7243e-05,0.078576,0.96876
10971,3.85,0.0,-0.0028982,0.0,0.10112,1.0047
10972,3.9,0.050003,-0.0029076,4.824e-05,0.092874,0.99288
10973,3.9,-0.049996,-0.0029076,-4.8242e-05,0.092913,0.99306
10974,3.75,0.0,-0.0028786,0.0,0.11726,1.0283
10975,3.8,0.050004,-0.0028875,4.9198e-05,0.10833,1.0167
10976,3.8,-0.049995,-0.0028875,-4.9198e-05,0.10837,1.0169
10977,3.65,0.0,-0.0028599,0.0,0.13464,1.0517
10978,3.7,0.050005,-0.0028683,5.0123e-05,0.12496,1.0401
10979,3.7,-0.049994,-0.0028683,-5.0121e-05,0.125,1.0403
10980,3.55,0.0,-0.0028424,0.0,0.15337,1.0751
10981,3.6,0.050007,-0.0028502,5.1024e-05,0.14287,1.0635
10982,3.6,-0.049993,-0.0028502,-5.1019e-05,0.14291,1.0637
10983,3.45,0.0,-0.0028261,0.0,0.17358,1.0987
10984,3.5,0.050009,-0.0028332,5.191e-05,0.16217,1.087
10985,3.5,-0.049991,-0.0028332,-5.1901e-05,0.16222,1.0872
10986,3.35,0.0,-0.0028111,0.0,0.19546,1.1228
10987,3.4,0.050012,-0.0028175,5.2789e-05,0.18301,1.1108
10988,3.4,-0.049989,-0.0028175,-5.2776e-05,0.18306,1.111
10989,3.25,0.0,-0.0027977,0.0,0.2192,1.1475
10990,3.3,0.050014,-0.0028033,5.3671e-05,0.20558,1.1352
10991,3.3,-0.049986,-0.0028032,-5.3652e-05,0.20563,1.1354
